n,heapsort.ticks
150000,31194973
180000,38080941
210000,45030361
240000,52021191
270000,59071215
300000,66276152
330000,73538886
360000,80832838
390000,88165371
420000,95526592
450000,102870411
480000,110287308
510000,117685776
540000,125170060
570000,132754980
600000,140371484
630000,148016501
660000,155670186
690000,163335517
720000,171045531
750000,178735626
780000,186461731
810000,194192849
840000,201967425
870000,209719198
900000,217469579
930000,225220907
960000,233055369
990000,240853608
1020000,248629059
1050000,256438337
1080000,264409145
1110000,272377002
1140000,280329291
1170000,288330813
1200000,296312351
1230000,304355497
1260000,312401318
1290000,320433426
1320000,328475241
1350000,336555449
1380000,344614328
1410000,352733409
1440000,360779627
1470000,368861446
