n,heapsort.time
150000,106
180000,141
210000,176
240000,233
270000,275
300000,312
330000,373
360000,416
390000,476
420000,525
450000,580
480000,641
510000,686
540000,752
570000,820
600000,873
630000,942
660000,987
690000,1059
720000,1107
750000,1170
780000,1242
810000,1299
840000,1368
870000,1427
900000,1484
930000,1544
960000,1643
990000,1707
1020000,1781
1050000,1863
1080000,1913
1110000,2017
1140000,2052
1170000,2130
1200000,2215
1230000,2280
1260000,2380
1290000,2443
1320000,2500
1350000,2623
1380000,2709
1410000,2770
1440000,2867
1470000,2963
