n,heapsort.time
150000,107
180000,144
210000,200
240000,238
270000,287
300000,342
330000,398
360000,515
390000,505
420000,756
450000,820
480000,827
510000,874
540000,1101
570000,1169
600000,1096
630000,1222
660000,1439
690000,1374
720000,1549
750000,1566
780000,1310
810000,1894
840000,2140
870000,1772
900000,1835
930000,2182
960000,2178
990000,2031
1020000,2305
1050000,2678
1080000,2729
1110000,2771
1140000,2998
1170000,2987
1200000,3372
1230000,3165
1260000,3388
1290000,3856
1320000,3741
1350000,3888
1380000,2868
1410000,3485
1440000,3126
1470000,2826
