n,heapsort.ticks
150000,31197059
180000,38066468
210000,45016600
240000,52016581
270000,59074075
300000,66291398
330000,73534078
360000,80849187
390000,88169807
420000,95515161
450000,102888365
480000,110261074
510000,117673057
540000,125167097
570000,132778464
600000,140377293
630000,148003037
660000,155680128
690000,163350227
720000,171023893
750000,178728642
780000,186475095
810000,194216937
840000,201948512
870000,209705597
900000,217493183
930000,225218186
960000,233030618
990000,240813835
1020000,248624293
1050000,256410112
1080000,264381942
1110000,272343727
1140000,280341040
1170000,288372798
1200000,296317679
1230000,304372462
1260000,312396004
1290000,320424676
1320000,328484423
1350000,336552563
1380000,344625514
1410000,352719715
1440000,360773735
1470000,368895247
